Anos,Total,0-5.000,5.001-10.000,10.001-13.500,13.501-19.000,19.001-27.500,27.501-32.500,32.501-40.000,40.001-50.000,50.001-100.000,100.001-250.000,250.000+
1990,2704145,1319094,857404,219277,155667,93335,23273,17385,9725,7825,974,186
1991,2727246,1114589,894227,281337,200486,131786,37120,30844,18577,16362,1659,259
1992,2869488,1073382,925941,317335,242674,159917,48819,43478,28352,26752,2507,331
1993,3006115,1050114,960708,346748,273845,183184,58897,53947,37237,37344,3684,407
1994,3043905,1030229,963726,356402,292555,192615,61526,57676,40875,42917,4888,496
1995,3111572,982593,977808,379531,316996,214679,67372,64792,47336,53063,6824,578
1996,3235423,975380,1000022,402692,343399,235436,75123,72437,55335,65549,9160,890
1997,3391340,968278,1036244,433350,371462,259404,84235,81186,63754,79977,12313,1137
1998,3501535,923761,1067035,463085,407998,282963,90121,89087,69496,91029,15454,1506
1999,3628323,860579,1087794,495552,449840,316221,101425,101979,80207,111449,21011,2266
2000,3913551,894645,1188051,524247,481123,350979,112637,114050,90231,129598,25496,2494
2001,4073845,836565,1200686,555342,528290,400400,127750,131500,105114,153467,31225,3506
2002,4187322,824944,1231565,568571,545622,420070,139042,138255,112843,168813,34565,3032
2003,4352593,854651,1283329,586816,563390,438048,143856,145317,117554,178739,37375,3518
2004,4458770,783087,1326091,606129,592855,466398,154533,157315,127080,197005,43914,4363
2005,4508238,766298,1346553,612992,602174,480069,157695,160306,131469,201695,44454,4533
2006,4539561,733575,1325375,629012,624954,501956,164232,164300,138821,208047,44911,4378
2007,4637759,700221,1331803,646705,655490,532629,172823,174882,146742,221766,49785,4913
2008,4615848,634836,1330442,654192,670032,550492,176099,179406,147866,220818,47614,4051
2009,4654114,634079,1331141,656511,672564,562355,182739,183665,151519,227505,48300,3736
2010,4720473,637281,1352393,659268,684062,572498,187354,188537,154704,232194,48621,3561
2011,4732421,638793,1366148,665402,691172,579570,185052,191075,149924,219725,42493,3067
2012,5085271,802261,1639094,692775,705707,548017,177179,170774,131167,181713,33852,2732
2013,5055680,849358,1599767,667356,659121,552617,175336,181153,138370,196993,33333,2276
2014,5122770,892949,1605215,673730,667509,556249,176324,177470,140895,195704,34326,2399
2015,5008652,793388,1544012,686587,666016,575497,181129,183937,143604,198000,34030,2452
2016,5071151,744923,1536298,713129,687843,602145,190224,191700,152614,211279,38202,2794
2017,5180643,718643,1534136,750179,708246,632429,204196,202917,162417,223331,40932,3217
2018,5302953,702517,1496374,797305,749271,654467,221555,217670,173388,241629,44914,3863
2019,5408288,677673,1446100,841952,783469,689398,237623,231445,187013,261496,47939,4180
2020,5479417,736022,1400516,869992,785385,691663,246887,236200,190815,269817,48346,3774
2021,5575084,687980,1341874,914075,815647,730578,268351,255946,205751,295412,55025,4445
