"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.778276800E-2,-1.053448766E-1,-8.619125932E-2,9.931148529E0,9.932081231E0
2.333746000E-2,-1.340752989E-1,-7.661445439E-2,9.902418137E0,9.903622111E0
2.834238400E-2,-1.436520964E-1,-8.619125932E-2,9.844957352E0,9.846382590E0
3.334723000E-2,-1.340752989E-1,-1.149216816E-1,9.797073364E0,9.798664689E0
3.835215300E-2,-1.149216816E-1,-9.576806426E-2,9.864110947E0,9.865245222E0
4.335699900E-2,-1.149216816E-1,-9.576806426E-2,9.806650162E0,9.807791082E0
4.836184500E-2,-8.619125932E-2,-5.746084079E-2,9.844957352E0,9.845502320E0
5.333623000E-2,-1.915361285E-1,-1.340752989E-1,9.931148529E0,9.933900210E0
5.834115300E-2,-1.244984865E-1,-7.661445439E-2,9.921571732E0,9.922648602E0
6.334599900E-2,-1.628057212E-1,-1.244984865E-1,9.921571732E0,9.923688387E0
6.835092200E-2,-8.619125932E-2,-6.703764945E-2,9.883264542E0,9.883867714E0
7.335576800E-2,-1.340752989E-1,-1.436520964E-1,9.921571732E0,9.923517407E0
7.836069100E-2,-1.532289088E-1,-1.149216816E-1,9.892841339E0,9.894695339E0
8.333499900E-2,-1.436520964E-1,-1.149216816E-1,9.931148529E0,9.932852260E0
8.833992200E-2,-9.576806426E-2,-6.703764945E-2,9.892841339E0,9.893531995E0
9.334476800E-2,-8.619125932E-2,-6.703764945E-2,9.873687744E0,9.874291501E0
9.834969100E-2,-1.723825186E-1,-9.576806426E-2,9.873687744E0,9.875656784E0
1.033545380E-1,-8.619125932E-2,-1.053448766E-1,9.892841339E0,9.893777652E0
1.083594610E-1,-1.723825186E-1,-9.576806426E-2,9.864110947E0,9.866081898E0
1.133338450E-1,-9.576806426E-2,-8.619125932E-2,9.883264542E0,9.884104332E0
1.183386910E-1,-1.819593310E-1,-6.703764945E-2,9.864110947E0,9.866016826E0
1.233436150E-1,-1.819593310E-1,-1.628057212E-1,9.883264542E0,9.886280033E0
1.283484610E-1,-1.053448766E-1,-7.661445439E-2,9.931148529E0,9.932002740E0
1.333533840E-1,-1.436520964E-1,-9.576806426E-2,9.940725327E0,9.942224473E0
1.383582300E-1,-1.628057212E-1,-8.619125932E-2,9.902418137E0,9.904131440E0
1.433326150E-1,-1.149216816E-1,-1.053448766E-1,9.854534149E0,9.855767237E0
1.483374610E-1,-1.723825186E-1,-8.619125932E-2,9.959878922E0,9.961743462E0
1.533423840E-1,-1.149216816E-1,-1.053448766E-1,9.921571732E0,9.922796489E0
1.583472300E-1,-7.661445439E-2,-1.340752989E-1,9.873687744E0,9.874895221E0
1.633521530E-1,-9.576806426E-2,-1.149216816E-1,9.892841339E0,9.893972320E0
1.683569990E-1,-1.053448766E-1,-1.532289088E-1,9.902418137E0,9.904163851E0
1.733619220E-1,-1.819593310E-1,-1.244984865E-1,9.854534149E0,9.857000171E0
1.783363070E-1,-1.340752989E-1,-1.532289088E-1,9.940725327E0,9.942810232E0
1.833411530E-1,-1.340752989E-1,-1.244984865E-1,9.921571732E0,9.923258622E0
1.883460760E-1,-1.149216816E-1,-9.576806426E-2,9.979032516E0,9.980153730E0
1.933509220E-1,-1.436520964E-1,-1.149216816E-1,9.902418137E0,9.904126810E0
1.983558460E-1,-1.436520964E-1,-1.053448766E-1,9.883264542E0,9.884869826E0
2.033606920E-1,-1.819593310E-1,-9.576806426E-2,9.950302124E0,9.952426492E0
2.083350760E-1,-2.489969730E-1,-7.661445439E-2,9.844957352E0,9.848403654E0
2.133399220E-1,-1.532289088E-1,-9.576806426E-2,9.816226959E0,9.817889913E0
2.183448460E-1,-1.244984865E-1,-1.149216816E-1,9.883264542E0,9.884716732E0
2.233496920E-1,-1.532289088E-1,-1.149216816E-1,9.892841339E0,9.894695339E0
2.283546150E-1,-1.915361285E-1,-9.576806426E-2,9.873687744E0,9.876009684E0
2.333594610E-1,-1.532289088E-1,-1.149216816E-1,9.864110947E0,9.865970346E0
2.383338460E-1,-1.149216816E-1,-1.628057212E-1,9.902418137E0,9.904423136E0
2.433387690E-1,-1.149216816E-1,-1.244984865E-1,9.940725327E0,9.942169124E0
2.483436150E-1,-1.723825186E-1,-7.661445439E-2,9.902418137E0,9.904214783E0
2.533485380E-1,-1.819593310E-1,-1.053448766E-1,9.940725327E0,9.942948595E0
2.583533840E-1,-7.661445439E-2,-1.053448766E-1,9.979032516E0,9.979882629E0
2.633583070E-1,-1.915361285E-1,-5.746084079E-2,9.911994934E0,9.914011873E0
2.683326150E-1,-1.436520964E-1,-1.532289088E-1,9.940725327E0,9.942943983E0
2.733375380E-1,-2.011129409E-1,-8.619125932E-2,9.825803757E0,9.828239660E0
2.783423840E-1,-1.053448766E-1,-1.723825186E-1,9.844957352E0,9.847029935E0
2.833473070E-1,-1.149216816E-1,-1.340752989E-1,9.844957352E0,9.846540938E0
2.883521530E-1,-1.628057212E-1,-1.149216816E-1,9.873687744E0,9.875698576E0
2.933570770E-1,-1.915361285E-1,-8.619125932E-2,9.873687744E0,9.875921460E0
2.983619230E-1,-1.915361285E-1,-1.340752989E-1,9.777919769E0,9.780714559E0
3.033363070E-1,-9.576806426E-2,-8.619125932E-2,9.940725327E0,9.941560264E0
3.083411530E-1,-1.532289088E-1,-1.915361360E-2,9.921571732E0,9.922773382E0
3.133460770E-1,-1.532289088E-1,-1.053448766E-1,9.902418137E0,9.904163851E0
3.183509230E-1,-1.723825186E-1,-1.053448766E-1,9.931148529E0,9.933203128E0
3.233558460E-1,-1.628057212E-1,-1.244984865E-1,9.969455719E0,9.971562210E0
3.283606920E-1,-1.053448766E-1,-1.149216816E-1,9.902418137E0,9.903645263E0
3.333350770E-1,-1.532289088E-1,-4.788403213E-2,9.883264542E0,9.884568275E0
3.383400000E-1,-1.149216816E-1,-1.436520964E-1,9.873687744E0,9.875401389E0
3.433448460E-1,-1.244984865E-1,-1.053448766E-1,9.883264542E0,9.884610029E0
3.483497690E-1,-1.915361285E-1,-1.053448766E-1,9.854534149E0,9.856958300E0
3.533546150E-1,-1.628057212E-1,-1.149216816E-1,9.979032516E0,9.981022125E0
3.583595380E-1,-1.915361285E-1,-8.619125932E-2,9.892841339E0,9.895070732E0
3.633338460E-1,-1.819593310E-1,-1.532289088E-1,9.931148529E0,9.933997151E0
3.683387690E-1,-1.436520964E-1,-9.576806426E-2,9.911994934E0,9.913498425E0
3.733436150E-1,-1.628057212E-1,-9.576806426E-2,9.998186111E0,9.999970137E0
3.783485380E-1,-1.436520964E-1,-1.628057212E-1,9.950302124E0,9.952670696E0
3.833533840E-1,-1.340752989E-1,-1.149216816E-1,9.959878922E0,9.961444238E0
