Global Land and Ocean October Temperature Anomalies,
Units: Degrees Celsius,
Base Period: 1901-2000,
Missing: -999,
Year,Anomaly
1850,-0.11
1851,-0.02
1852,-0.06
1853,-0.14
1854,-0.01
1855,-0.03
1856,-0.44
1857,-0.24
1858,-0.2
1859,-0.11
1860,-0.21
1861,-0.22
1862,-0.27
1863,-0.21
1864,-0.27
1865,-0.15
1866,-0.18
1867,-0.12
1868,-0.13
1869,-0.23
1870,-0.3
1871,-0.24
1872,-0.13
1873,-0.16
1874,-0.2
1875,-0.13
1876,-0.15
1877,0.12
1878,-0.04
1879,-0.07
1880,-0.3
1881,-0.24
1882,-0.28
1883,-0.24
1884,-0.3
1885,-0.27
1886,-0.2
1887,-0.34
1888,-0.05
1889,-0.24
1890,-0.3
1891,-0.22
1892,-0.23
1893,-0.26
1894,-0.28
1895,-0.12
1896,0.03
1897,-0.1
1898,-0.37
1899,-0.08
1900,0.05
1901,-0.28
1902,-0.28
1903,-0.48
1904,-0.35
1905,-0.23
1906,-0.21
1907,-0.26
1908,-0.44
1909,-0.39
1910,-0.44
1911,-0.32
1912,-0.54
1913,-0.33
1914,-0.11
1915,-0.2
1916,-0.29
1917,-0.38
1918,-0.1
1919,-0.2
1920,-0.25
1921,-0.08
1922,-0.29
1923,-0.19
1924,-0.32
1925,-0.17
1926,-0.08
1927,-0.02
1928,-0.18
1929,-0.14
1930,-0.05
1931,0.02
1932,-0.1
1933,-0.2
1934,-0.02
1935,-0.04
1936,-0.05
1937,0.11
1938,0.11
1939,-0.01
1940,0.15
1941,0.36
1942,0.04
1943,0.25
1944,0.29
1945,0.17
1946,-0.03
1947,0.05
1948,-0.05
1949,-0.04
1950,-0.15
1951,0.13
1952,0.01
1953,0.13
1954,-0.01
1955,-0.09
1956,-0.22
1957,0.09
1958,0.04
1959,-0.06
1960,0.08
1961,-0.12
1962,0.03
1963,0.21
1964,-0.27
1965,0.01
1966,-0.14
1967,0.12
1968,0.04
1969,0.1
1970,-0.03
1971,-0.07
1972,0.12
1973,0.06
1974,-0.06
1975,-0.12
1976,-0.16
1977,0.12
1978,0.07
1979,0.31
1980,0.2
1981,0.25
1982,0.18
1983,0.23
1984,0.2
1985,0.16
1986,0.19
1987,0.35
1988,0.4
1989,0.35
1990,0.41
1991,0.33
1992,0.02
1993,0.22
1994,0.45
1995,0.44
1996,0.21
1997,0.68
1998,0.44
1999,0.37
2000,0.34
2001,0.47
2002,0.57
2003,0.77
2004,0.61
2005,0.75
2006,0.68
2007,0.61
2008,0.7
2009,0.69
2010,0.68
2011,0.71
2012,0.79
2013,0.68
2014,0.82
2015,1.1
2016,0.88
2017,0.92
2018,1.06
2019,1.01
2020,0.91
2021,1
2022,0.97
2023,1.34
