Anos	Total	Fora do casamento
1960	213895	20221
1961	217516	19070
1962	220200	18655
1963	212152	17454
1964	217136	17273
1965	210299	16423
1966	206940	15596
1967	202061	15099
1968	194962	14404
1969	189739	13826
1970	180690	13042
1971	181243	13160
1972	174685	12429
1973	172324	12332
1974	171979	12443
1975	179648	12888
1976	186712	13691
1977	181064	13004
1978	167467	12894
1979	160311	13166
1980	158309	14558
1981	152071	14434
1982	151002	15159
1983	144296	15441
1984	142783	16395
1985	130450	16088
1986	126715	16158
1987	123179	16315
1988	122093	16731
1989	118483	17212
1990	116321	17095
1991	116299	18122
1992	114924	18478
1993	113960	19298
1994	109227	19464
1995	107097	19972
1996	110261	20563
1997	112933	22063
1998	113384	22802
1999	116002	24186
2000	120008	26642
2001	112774	26814
2002	114383	29117
2003	112515	30236
2004	109298	31766
2005	109399	33633
2006	105449	33331
2007	102492	34443
2008	104594	37854
2009	99491	37928
2010	101381	41844
2011	96856	41489
2012	89841	40950
2013	82787	39434
2014	82367	40647
2015	85500	43361
2016	87126	45972
2017	86154	47315
2018	87020	48625
2019	86579	49140
2020	84530	48972
2021	79582	47785
2022	83671	50329
