SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,AÇUDE PONTE COIMBRA (12G/01AE),,
,Caudal descarregado médio diário (m3/s),FLAG,
01/01/1987 00:00,29.8,(vco),
02/01/1987 00:00,29.8,(vco),
03/01/1987 00:00,29.8,(vco),
04/01/1987 00:00,29.8,(vco),
05/01/1987 00:00,29.8,(vco),
06/01/1987 00:00,44.8,(vco),
07/01/1987 00:00,75.3,(vco),
08/01/1987 00:00,80.5,(vco),
09/01/1987 00:00,102.1,(vco),
10/01/1987 00:00,94.1,(vco),
11/01/1987 00:00,43.3,(vco),
12/01/1987 00:00,51.3,(vco),
13/01/1987 00:00,49.4,(vco),
14/01/1987 00:00,88.6,(vco),
15/01/1987 00:00,125.3,(vco),
16/01/1987 00:00,133.3,(vco),
17/01/1987 00:00,75.4,(vco),
18/01/1987 00:00,43.7,(vco),
19/01/1987 00:00,46.3,(vco),
20/01/1987 00:00,51.8,(vco),
21/01/1987 00:00,41.8,(vco),
22/01/1987 00:00,61.2,(vco),
23/01/1987 00:00,110,(vco),
24/01/1987 00:00,56.8,(vco),
25/01/1987 00:00,32,(vco),
26/01/1987 00:00,31.9,(vco),
27/01/1987 00:00,52.9,(vco),
28/01/1987 00:00,133.5,(vco),
29/01/1987 00:00,204,(vco),
30/01/1987 00:00,223,(vco),
31/01/1987 00:00,216.2,(vco),
01/02/1987 00:00,174,(vco),
02/02/1987 00:00,231.4,(vco),
03/02/1987 00:00,224.7,(vco),
04/02/1987 00:00,211.4,(vco),
05/02/1987 00:00,198,(vco),
06/02/1987 00:00,199,(vco),
07/02/1987 00:00,128.3,(vco),
08/02/1987 00:00,94.6,(vco),
09/02/1987 00:00,119.5,(vco),
10/02/1987 00:00,131,(vco),
11/02/1987 00:00,227.9,(vco),
12/02/1987 00:00,224,(vco),
13/02/1987 00:00,230,(vco),
14/02/1987 00:00,227.4,(vco),
15/02/1987 00:00,195.6,(vco),
16/02/1987 00:00,194.1,(vco),
17/02/1987 00:00,258.8,(vco),
18/02/1987 00:00,257.8,(vco),
19/02/1987 00:00,244.7,(vco),
20/02/1987 00:00,227,(vco),
21/02/1987 00:00,200.8,(vco),
22/02/1987 00:00,214.9,(vco),
23/02/1987 00:00,138,(vco),
24/02/1987 00:00,208.9,(vco),
25/02/1987 00:00,201.2,(vco),
26/02/1987 00:00,175.3,(vco),
27/02/1987 00:00,202.4,(vco),
28/02/1987 00:00,150,(vco),
01/03/1987 00:00,122,(vco),
02/03/1987 00:00,88.2,(vco),
03/03/1987 00:00,57.9,(vco),
04/03/1987 00:00,150.6,(vco),
05/03/1987 00:00,54.3,(vco),
06/03/1987 00:00,41.9,(vco),
07/03/1987 00:00,44.4,(vco),
08/03/1987 00:00,40,(vco),
09/03/1987 00:00,96.5,(vco),
10/03/1987 00:00,74,(vco),
11/03/1987 00:00,71.1,(vco),
12/03/1987 00:00,42.7,(vco),
13/03/1987 00:00,50.6,(vco),
14/03/1987 00:00,60,(vco),
15/03/1987 00:00,47.2,(vco),
16/03/1987 00:00,81.6,(vco),
17/03/1987 00:00,141.1,(vco),
18/03/1987 00:00,79.2,(vco),
19/03/1987 00:00,40.8,(vco),
20/03/1987 00:00,94.2,(vco),
21/03/1987 00:00,34.5,(vco),
22/03/1987 00:00,35.8,(vco),
23/03/1987 00:00,95.7,(vco),
24/03/1987 00:00,103.4,(vco),
25/03/1987 00:00,87.6,(vco),
26/03/1987 00:00,67.8,(vco),
